89,Ac,Actinium
13,Al,Aluminium
95,Am,Americium
51,Sb,Antimony
18,Ar,Argon
33,As,Arsenic
85,At,Astatine
56,Ba,Barium
97,Bk,Berkelium
4,Be,Beryllium
83,Bi,Bismuth
107,Bh,Bohrium
5,B,Boron
35,Br,Bromine
48,Cd,Cadmium
55,Cs,Caesium
20,Ca,Calcium
98,Cf,Californium
6,C,Carbon
58,Ce,Cerium
17,Cl,Chlorine
24,Cr,Chromium
27,Co,Cobalt
112,Cn,Copernicium
29,Cu,Copper
96,Cm,Curium
110,Ds,Darmstadtium
105,Db,Dubnium
66,Dy,Dysprosium
99,Es,Einsteinium
68,Er,Erbium
63,Eu,Europium
100,Fm,Fermium
114,Fl,Flerovium
9,F,Fluorine
87,Fr,Francium
64,Gd,Gadolinium
31,Ga,Gallium
32,Ge,Germanium
79,Au,Gold
72,Hf,Hafnium
108,Hs,Hassium
2,He,Helium
67,Ho,Holmium
1,H,Hydrogen
49,In,Indium
53,I,Iodine
77,Ir,Iridium
26,Fe,Iron
36,Kr,Krypton
57,La,Lanthanum
103,Lr,Lawrencium
82,Pb,Lead
3,Li,Lithium
116,Lv,Livermorium
71,Lu,Lutetium
12,Mg,Magnesium
25,Mn,Manganese
109,Mt,Meitnerium
101,Md,Mendelevium
80,Hg,Mercury
42,Mo,Molybdenum
60,Nd,Neodymium
10,Ne,Neon
93,Np,Neptunium
28,Ni,Nickel
41,Nb,Niobium
7,N,Nitrogen
102,No,Nobelium
76,Os,Osmium
8,O,Oxygen
46,Pd,Palladium
15,P,Phosphorus
78,Pt,Platinum
94,Pu,Plutonium
84,Po,Polonium
19,K,Potassium
59,Pr,Praseodymium
61,Pm,Promethium
91,Pa,Protactinium
88,Ra,Radium
86,Rn,Radon
75,Re,Rhenium
45,Rh,Rhodium
111,Rg,Roentgenium
37,Rb,Rubidium
44,Ru,Ruthenium
104,Rf,Rutherfordium
62,Sm,Samarium
21,Sc,Scandium
106,Sg,Seaborgium
34,Se,Selenium
14,Si,Silicon
47,Ag,Silver
11,Na,Sodium
38,Sr,Strontium
16,S,Sulfur
73,Ta,Tantalum
43,Tc,Technetium
52,Te,Tellurium
65,Tb,Terbium
81,Tl,Thallium
90,Th,Thorium
69,Tm,Thulium
50,Sn,Tin
22,Ti,Titanium
74,W,Tungsten
118,Uuo,Ununoctium
115,Uup,Ununpentium
117,Uus,Ununseptium
113,Uut,Ununtrium
92,U,Uranium
23,V,Vanadium
54,Xe,Xenon
70,Yb,Ytterbium
39,Y,Yttrium
30,Zn,Zinc
40,Zr,Zirconium
